study,model_subset,model,n,loss_cross_entropy,r2_target_metric,parameter_names,parameters
Study 3,POOLED,S3 v3 full (per-coalition + saturation + extreme-reject),5693,1.173688819631407,0.4482028790024224,"[""rho"", ""lambda_supporter"", ""gamma_supporter"", ""beta_supporter"", ""lambda_opposer"", ""gamma_opposer"", ""beta_opposer"", ""zeta_extreme_reject"", ""c_sup_3:0"", ""c_sup_2:1"", ""c_sup_1:2"", ""c_sup_0:3"", ""c_opp_3:0"", ""c_opp_2:1"", ""c_opp_1:2"", ""c_opp_0:3""]","[0.9205314786763177, 2.0, 0.14454476556011348, 0.32040741467864364, 1.1670342296463259, 0.0, 0.06489530112550554, 0.042221796874999995, 1.7349079584904232, 1.6506613905914425, 1.7412619375515566, 1.4644526841435668, 4.051876411360932, 2.4837269762845224, 2.2886336456185146, 1.0897002820427821]"
Study 3,POOLED,S3 v3 split + tanh saturation,5693,1.1759172765217274,0.43821805422571725,"[""rho"", ""lambda_supporter"", ""gamma_supporter"", ""beta_supporter"", ""lambda_opposer"", ""gamma_opposer"", ""beta_opposer""]","[0.9374038113965595, 3.3042853842074353, 0.1310584181742471, 0.3129730595480708, 1.5634693952392544, 0.0, 0.11413040328649061]"
Study 3,POOLED,S3 v3 split + per-coalition multipliers,5693,1.201236959887481,0.4149589624546127,"[""rho"", ""lambda_supporter"", ""gamma_supporter"", ""lambda_opposer"", ""gamma_opposer"", ""c_sup_3:0"", ""c_sup_2:1"", ""c_sup_1:2"", ""c_sup_0:3"", ""c_opp_3:0"", ""c_opp_2:1"", ""c_opp_1:2"", ""c_opp_0:3""]","[0.9158406132755536, 0.1433564380652017, 0.06774729715040319, 0.5305434830206299, 0.0, 3.6690601400334706, 4.035611431264901, 5.0, 3.3673462059926664, 0.4939819966199489, 0.3544782449221307, 0.23258042933666256, 0.10122734053488752]"
Study 3,POOLED,S3 split supporter/opposer + baseline-certainty rho,5693,1.2062114182304027,0.3975011749855013,"[""rho0"", ""rho_pmode"", ""lambda_supporter"", ""gamma_supporter"", ""lambda_opposer"", ""gamma_opposer""]","[0.7018769371587404, 0.49445921345699984, 0.585949688477146, 0.0647037458861084, 0.11445657135004408, 0.08711650676920754]"
Study 3,POOLED,S3 split supporter/opposer distance-gated pooling,5693,1.2070816413790662,0.39668006527599586,"[""rho"", ""lambda_supporter"", ""gamma_supporter"", ""lambda_opposer"", ""gamma_opposer""]","[0.9297655458095905, 0.5879414951811182, 0.06660730849947451, 0.10254063340599624, 0.05614239478317891]"
Study 3,POOLED,S3 v3 split + extreme-reject,5693,1.2180455460590662,0.3915906181247921,"[""rho"", ""lambda_supporter"", ""gamma_supporter"", ""lambda_opposer"", ""gamma_opposer"", ""zeta_extreme_reject""]","[0.8606587868077871, 0.5505113270861215, 0.04734018652343751, 0.042795177078312, 1.917068650390615, -0.1548491875935566]"
Study 3,POOLED,S3 CRP-like distance-gated pooling + prior-anchor,5693,1.2810809579901485,0.2856260540747688,"[""rho"", ""lambda_peer"", ""gamma_distance"", ""eta_mode_anchor""]","[1.23483923073325, 0.5267816327858873, 0.4491700598179349, -0.27759996437987844]"
Study 3,POOLED,S3 CRP latent in-group probability,5693,1.2913126209723078,0.249563612721586,"[""rho"", ""lambda_group_evidence"", ""a0_membership"", ""b_distance"", ""c_same_side""]","[0.9960656014180361, 0.39567776076009825, 1.417150336294069, 0.620472687132012, 1.013675684296601]"
Study 3,POOLED,S3 CRP latent in-group + baseline-certainty rho,5693,1.2913641674073646,0.25772945075011644,"[""rho0"", ""rho_pmode"", ""lambda_group_evidence"", ""a0_membership"", ""b_distance"", ""c_same_side""]","[0.7724106096637993, 0.5076204294851174, 4.87664846769381, -2.6525143131254802, 0.26680239122212934, 0.2902863207162624]"
Study 3,POOLED,S3 CRP-like distance-gated pooling,5693,1.293351899360172,0.25226173798403395,"[""rho"", ""lambda_peer"", ""gamma_distance""]","[0.9983059195566099, 0.4161003286911932, 0.3249844951621467]"
