study,model_subset,model,n,loss_cross_entropy,r2_target_metric,parameter_names,parameters
Study 3,POOLED,S3 v3 split + per-coalition multipliers,5694,1.1837062276426458,0.46036088237445427,"[""rho"", ""lambda_supporter"", ""gamma_supporter"", ""lambda_opposer"", ""gamma_opposer"", ""c_sup_3:0"", ""c_sup_2:1"", ""c_sup_1:2"", ""c_sup_0:3"", ""c_opp_3:0"", ""c_opp_2:1"", ""c_opp_1:2"", ""c_opp_0:3""]","[0.271567003364028, 0.2169078499006467, 0.09391961528452832, 2.423578828767416, 0.0, 4.217888391677794, 3.23020431495712, 3.6646642285199458, 2.0322047524250557, 0.2569922488545304, 0.17624672558770751, 0.1781877548446466, 0.08345225893477698]"
Study 3,POOLED,S3 CRP-like distance-gated pooling + prior-anchor,5694,1.1900422086811508,0.4177162059078777,"[""rho"", ""lambda_peer"", ""gamma_distance"", ""eta_mode_anchor""]","[0.2118773471440141, 0.4353769848044254, 0.028685235577193068, 0.49436752211492413]"
Study 3,POOLED,S3 split supporter/opposer + baseline-certainty rho,5694,1.1972786869843344,0.46013332207536894,"[""rho0"", ""rho_pmode"", ""lambda_supporter"", ""gamma_supporter"", ""lambda_opposer"", ""gamma_opposer""]","[0.42714936425633776, -0.18987934707969986, 0.5607839001356296, 0.03355757359555353, 0.3963392565628891, 0.0745119402820632]"
Study 3,POOLED,S3 v3 split + extreme-reject,5694,1.2016583849460574,0.4473793787190009,"[""rho"", ""lambda_supporter"", ""gamma_supporter"", ""lambda_opposer"", ""gamma_opposer"", ""zeta_extreme_reject""]","[0.27586161824472305, 0.5655990699169832, 0.05781786217293023, 0.3748319577343848, 0.06533537885323598, 0.15264822319461518]"
Study 3,POOLED,S3 split supporter/opposer distance-gated pooling,5694,1.2018641750778503,0.44765731710773626,"[""rho"", ""lambda_supporter"", ""gamma_supporter"", ""lambda_opposer"", ""gamma_opposer""]","[0.27717726314431357, 0.5579900525434504, 0.03624405937134121, 0.3678335450662527, 0.06059638088892573]"
Study 3,POOLED,S3 CRP latent in-group + baseline-certainty rho,5694,1.2038778384710105,0.4496914695768226,"[""rho0"", ""rho_pmode"", ""lambda_group_evidence"", ""a0_membership"", ""b_distance"", ""c_same_side""]","[0.45260863763467, -0.21052395884615238, 4.118947076443918, -2.000152892122658, 0.12871024400695769, 0.11788372338527903]"
Study 3,POOLED,S3 CRP latent in-group probability,5694,1.2095048353611328,0.4361810130458832,"[""rho"", ""lambda_group_evidence"", ""a0_membership"", ""b_distance"", ""c_same_side""]","[0.2885634656818341, 1.538876532347355, -0.8698992227591366, 0.13295665183050556, 0.2296363548443793]"
Study 3,POOLED,S3 CRP-like distance-gated pooling,5694,1.2104547737198792,0.4312951698873788,"[""rho"", ""lambda_peer"", ""gamma_distance""]","[0.2907338740566915, 0.5255197497433303, 0.13449794285347183]"
Study 3,POOLED,S3 constant peer pooling,5694,1.228344717757108,0.4183091368723053,"[""rho"", ""lambda_peer""]","[0.35560807485071405, 0.34961122501633873]"
Study 3,POOLED,S3 v3 full (per-coalition + saturation + extreme-reject),5694,1.2863873350474726,0.38444714309466,"[""rho"", ""lambda_supporter"", ""gamma_supporter"", ""beta_supporter"", ""lambda_opposer"", ""gamma_opposer"", ""beta_opposer"", ""zeta_extreme_reject"", ""c_sup_3:0"", ""c_sup_2:1"", ""c_sup_1:2"", ""c_sup_0:3"", ""c_opp_3:0"", ""c_opp_2:1"", ""c_opp_1:2"", ""c_opp_0:3""]","[0.17266650046156098, 2.3888350513934578, 0.4380719648938639, 0.10736229009598794, -0.8242460611377986, 5.0, 1.4115450854334834, 0.19047466033307134, 5.0, 3.1468229187153125, 1.156759673714247, 2.3242410904804705, 1.1951151018297783, 1.29748348736922, 1.8610468092342956, 0.0]"
