study,model_subset,model,n,loss_cross_entropy,r2_target_metric,parameter_names,parameters
Study 3,POOLED,S3 v3 split + per-coalition multipliers,5694,1.4616537029065246,0.5304572903587303,"[""rho"", ""lambda_supporter"", ""gamma_supporter"", ""lambda_opposer"", ""gamma_opposer"", ""c_sup_3:0"", ""c_sup_2:1"", ""c_sup_1:2"", ""c_sup_0:3"", ""c_opp_3:0"", ""c_opp_2:1"", ""c_opp_1:2"", ""c_opp_0:3""]","[0.12334506305946885, 0.8510060182724869, 0.0, 0.6352290821541944, 0.0, 0.5169909588518866, 0.5870713246479503, 1.0655921947451443, 0.800433337882121, 1.0753784241117086, 1.2690216237697123, 1.0364459162886, 0.44754397365670023]"
Study 3,POOLED,S3 CRP latent in-group + baseline-certainty rho,5694,1.4817572088897075,0.49545200132887923,"[""rho0"", ""rho_pmode"", ""lambda_group_evidence"", ""a0_membership"", ""b_distance"", ""c_same_side""]","[0.36230655846431603, -0.2748212636448988, 9.816027381489144, -2.670398218532853, 0.0847821169571476, -0.6697060398700213]"
Study 3,POOLED,S3 CRP latent in-group probability,5694,1.496823628347846,0.500824419056394,"[""rho"", ""lambda_group_evidence"", ""a0_membership"", ""b_distance"", ""c_same_side""]","[0.17653637200086236, 0.467839758345538, 5.601370505468436, 0.0, -4.841063417439516]"
Study 3,POOLED,S3 split supporter/opposer + baseline-certainty rho,5694,1.501539012853055,0.5135754949096764,"[""rho0"", ""rho_pmode"", ""lambda_supporter"", ""gamma_supporter"", ""lambda_opposer"", ""gamma_opposer""]","[0.34234866893791077, -0.2831623121057533, 0.4077441487590546, 0.0, 0.43716936322179334, 0.0007044957736732343]"
Study 3,POOLED,S3 v3 split + extreme-reject,5694,1.507704860264662,0.5068057781220761,"[""rho"", ""lambda_supporter"", ""gamma_supporter"", ""lambda_opposer"", ""gamma_opposer"", ""zeta_extreme_reject""]","[0.1460744214735649, 0.376747243452987, 0.0, 0.44078545422529913, 0.0019561056668689755, 0.26819297242687734]"
Study 3,POOLED,S3 split supporter/opposer distance-gated pooling,5694,1.512479520651946,0.507383013170535,"[""rho"", ""lambda_supporter"", ""gamma_supporter"", ""lambda_opposer"", ""gamma_opposer""]","[0.1345897522197733, 0.3998018537884397, 0.0, 0.4331758624608188, 0.0]"
Study 3,POOLED,S3 CRP-like distance-gated pooling + prior-anchor,5694,1.5132493343123412,0.5068975168852982,"[""rho"", ""lambda_peer"", ""gamma_distance"", ""eta_mode_anchor""]","[0.1272465397505476, 0.4219115129133611, 0.0, -0.01715944525333934]"
Study 3,POOLED,S3 constant peer pooling,5694,1.5133431590820212,0.5076104466343291,"[""rho"", ""lambda_peer""]","[0.12133803732579207, 0.4227033802787293]"
Study 3,POOLED,S3 CRP-like distance-gated pooling,5694,1.513343159146494,0.5076101797078569,"[""rho"", ""lambda_peer"", ""gamma_distance""]","[0.12134280674252577, 0.4227091076946389, 0.0]"
Study 3,POOLED,S3 v3 full (per-coalition + saturation + extreme-reject),5694,1.6347010980601702,0.4045840404954507,"[""rho"", ""lambda_supporter"", ""gamma_supporter"", ""beta_supporter"", ""lambda_opposer"", ""gamma_opposer"", ""beta_opposer"", ""zeta_extreme_reject"", ""c_sup_3:0"", ""c_sup_2:1"", ""c_sup_1:2"", ""c_sup_0:3"", ""c_opp_3:0"", ""c_opp_2:1"", ""c_opp_1:2"", ""c_opp_0:3""]","[0.2422336329567215, -0.6692752412811878, 3.479723857732346, 0.0, 2.5822145275561423, 0.02610983591988417, 0.07032179583506512, 0.6211234812155546, 2.0791743151468136, 1.771783356316889, 2.6294415188894087, 3.120746468167068, 4.473897079070985, 2.0711404467998733, 2.3676907659096775, 2.499439227523685]"
