study,model_subset,model,n,loss_cross_entropy,r2_target_metric,parameter_names,parameters
Study 3,POOLED,S3 v3 full (per-coalition + saturation + extreme-reject),5693,1.175775853638984,0.43863922105322095,"[""rho"", ""lambda_supporter"", ""gamma_supporter"", ""beta_supporter"", ""lambda_opposer"", ""gamma_opposer"", ""beta_opposer"", ""zeta_extreme_reject"", ""c_sup_3:0"", ""c_sup_2:1"", ""c_sup_1:2"", ""c_sup_0:3"", ""c_opp_3:0"", ""c_opp_2:1"", ""c_opp_1:2"", ""c_opp_0:3""]","[0.9401962947006675, 3.2604515183131815, 0.14455534062487357, 0.3220037572509718, 1.5707510997305483, 0.0, 0.11388643310883313, 0.043308389585385125, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
Study 3,POOLED,S3 v3 split + tanh saturation,5693,1.1759172765217274,0.43821805422571725,"[""rho"", ""lambda_supporter"", ""gamma_supporter"", ""beta_supporter"", ""lambda_opposer"", ""gamma_opposer"", ""beta_opposer""]","[0.9374038113965595, 3.3042853842074353, 0.1310584181742471, 0.3129730595480708, 1.5634693952392544, 0.0, 0.11413040328649061]"
Study 3,POOLED,S3 split supporter/opposer + baseline-certainty rho,5693,1.2061659787958814,0.3978947638307082,"[""rho0"", ""rho_pmode"", ""lambda_supporter"", ""gamma_supporter"", ""lambda_opposer"", ""gamma_opposer""]","[0.7061918574599253, 0.4941075770491742, 0.5887556937685504, 0.06859295704408067, 0.10541174292881376, 0.06088309702261765]"
Study 3,POOLED,S3 split supporter/opposer distance-gated pooling,5693,1.2070824791080168,0.3966243835572423,"[""rho"", ""lambda_supporter"", ""gamma_supporter"", ""lambda_opposer"", ""gamma_opposer""]","[0.9290317419529254, 0.5875326007096092, 0.06609272147385983, 0.10392989520805096, 0.060333108273283094]"
Study 3,POOLED,S3 v3 split + per-coalition multipliers,5693,1.207115419734399,0.39536928580064645,"[""rho"", ""lambda_supporter"", ""gamma_supporter"", ""lambda_opposer"", ""gamma_opposer"", ""c_sup_3:0"", ""c_sup_2:1"", ""c_sup_1:2"", ""c_sup_0:3"", ""c_opp_3:0"", ""c_opp_2:1"", ""c_opp_1:2"", ""c_opp_0:3""]","[0.9321683044118909, 0.5810460903289196, 0.059781953168413476, 0.11202363272724428, 0.07626909281374691, 2.2328947819994003, 3.010677216924279, 2.737892626587966, 0.2521480975716378, 1.4581357399404082, 2.5550858937058827, 2.971987084490185, 2.1378217047877968]"
Study 3,POOLED,S3 v3 split + extreme-reject,5693,1.2181914223810721,0.3917128146478476,"[""rho"", ""lambda_supporter"", ""gamma_supporter"", ""lambda_opposer"", ""gamma_opposer"", ""zeta_extreme_reject""]","[0.8606587868077871, 0.5505113270861215, 0.04734018652343751, 0.042795177078312, 3.4395038847656307, -0.1548491875935566]"
Study 3,POOLED,S3 CRP-like distance-gated pooling + prior-anchor,5693,1.2810809579901485,0.2856260540747688,"[""rho"", ""lambda_peer"", ""gamma_distance"", ""eta_mode_anchor""]","[1.23483923073325, 0.5267816327858873, 0.4491700598179349, -0.27759996437987844]"
Study 3,POOLED,S3 CRP latent in-group probability,5693,1.2912382007555585,0.25202343622471735,"[""rho"", ""lambda_group_evidence"", ""a0_membership"", ""b_distance"", ""c_same_side""]","[0.990877089513832, 0.4284067411910437, 1.1512432457532726, 0.5769767183731038, 0.8075698435193417]"
Study 3,POOLED,S3 CRP latent in-group + baseline-certainty rho,5693,1.2914056489152543,0.2576125537188677,"[""rho0"", ""rho_pmode"", ""lambda_group_evidence"", ""a0_membership"", ""b_distance"", ""c_same_side""]","[0.7728162445294111, 0.5084674520745682, 7.567934218106056, -3.1192152031592184, 0.2614691084001662, 0.28536035437080104]"
Study 3,POOLED,S3 CRP-like distance-gated pooling,5693,1.2933518993625355,0.2522609041363286,"[""rho"", ""lambda_peer"", ""gamma_distance""]","[0.9983073459017913, 0.41609727895166637, 0.3249820609557305]"
Study 3,POOLED,S3 constant peer pooling,5693,1.3253574699108739,0.1160283127959616,"[""rho"", ""lambda_peer""]","[1.305339377586574, 0.18019358515786513]"
Study 3,POOLED,S3 prior only,5693,1.3910818139461478,0.002130215514405065,"[""rho""]",[1.194166948268023]
